"","auc_cat","ppv_cat","npv_cat","sens_cat","spec_cat","mean_ppv_cat","mean_npv_cat","true_negative_cat","false_negative_cat","false_positive_cat","true_positive_cat","mean_sens_cat","mean_spec_cat","mean_npv_cat","med_true_pos","med_false_pos","med_true_negs","med_false_negs","mean_auc_cat"
"1",0.874493927125506,0.75,0.948051948051948,0.789473684210526,0.935897435897436,0.780476186882696,0.954972953358538,73,4,5,15,0.834016255078441,0.937039429781876,0.954972953358538,17,5,72,3,0.916718945093327
"2",0.894242068155112,0.703703703703704,0.942857142857143,0.826086956521739,0.891891891891892,NA,NA,66,4,8,19,NA,NA,NA,NA,NA,NA,NA,NA
"3",0.943636363636363,0.904761904761905,0.960526315789474,0.863636363636364,0.973333333333333,NA,NA,73,3,2,19,NA,NA,NA,NA,NA,NA,NA,NA
"4",0.953007518796993,0.818181818181818,0.96,0.857142857142857,0.947368421052632,NA,NA,72,3,4,18,NA,NA,NA,NA,NA,NA,NA,NA
"5",0.944805194805194,0.782608695652174,0.972972972972973,0.9,0.935064935064935,NA,NA,72,2,5,18,NA,NA,NA,NA,NA,NA,NA,NA
"6",0.922945205479451,0.7,0.955223880597015,0.875,0.876712328767123,NA,NA,64,3,9,21,NA,NA,NA,NA,NA,NA,NA,NA
"7",0.921237693389592,0.75,0.961038961038961,0.833333333333333,0.936708860759494,NA,NA,74,3,5,15,NA,NA,NA,NA,NA,NA,NA,NA
"8",0.909090909090909,0.789473684210526,0.935897435897436,0.75,0.948051948051948,NA,NA,73,5,4,15,NA,NA,NA,NA,NA,NA,NA,NA
"9",0.898110661268557,0.823529411764706,0.9375,0.736842105263158,0.961538461538462,NA,NA,75,5,3,14,NA,NA,NA,NA,NA,NA,NA,NA
"10",0.922077922077921,0.8,0.948051948051948,0.8,0.948051948051948,NA,NA,73,4,4,16,NA,NA,NA,NA,NA,NA,NA,NA
"11",0.972431077694236,0.944444444444444,0.949367088607595,0.80952380952381,0.986842105263158,NA,NA,75,4,1,17,NA,NA,NA,NA,NA,NA,NA,NA
"12",0.965541490857946,0.72,1,1,0.911392405063291,NA,NA,72,0,7,18,NA,NA,NA,NA,NA,NA,NA,NA
"13",0.93107769423559,0.9,0.961038961038961,0.857142857142857,0.973684210526316,NA,NA,74,3,2,18,NA,NA,NA,NA,NA,NA,NA,NA
"14",0.950742240215924,0.888888888888889,0.962025316455696,0.842105263157895,0.974358974358974,NA,NA,76,3,2,16,NA,NA,NA,NA,NA,NA,NA,NA
"15",0.873376623376624,0.75,0.935064935064935,0.75,0.935064935064935,NA,NA,72,5,5,15,NA,NA,NA,NA,NA,NA,NA,NA
"16",0.867746288798921,0.933333333333334,0.939024390243902,0.736842105263158,0.987179487179487,NA,NA,77,5,1,14,NA,NA,NA,NA,NA,NA,NA,NA
"17",0.922077922077921,0.809523809523809,0.960526315789474,0.85,0.948051948051948,NA,NA,73,3,4,17,NA,NA,NA,NA,NA,NA,NA,NA
"18",0.886029411764706,0.857142857142857,0.939759036144578,0.705882352941177,0.975,NA,NA,78,5,2,12,NA,NA,NA,NA,NA,NA,NA,NA
"19",0.930555555555555,0.681818181818182,0.986666666666667,0.9375,0.91358024691358,NA,NA,74,1,7,15,NA,NA,NA,NA,NA,NA,NA,NA
"20",0.925775978407558,0.761904761904762,0.960526315789474,0.842105263157895,0.935897435897436,NA,NA,73,3,5,16,NA,NA,NA,NA,NA,NA,NA,NA
"21",0.929268292682927,0.68421052631579,0.974358974358974,0.866666666666667,0.926829268292683,NA,NA,76,2,6,13,NA,NA,NA,NA,NA,NA,NA,NA
"22",0.896624472573839,0.714285714285714,0.960526315789474,0.833333333333333,0.924050632911392,NA,NA,73,3,6,15,NA,NA,NA,NA,NA,NA,NA,NA
"23",0.879393939393939,0.782608695652174,0.945945945945946,0.818181818181818,0.933333333333333,NA,NA,70,4,5,18,NA,NA,NA,NA,NA,NA,NA,NA
"24",0.949771689497717,0.833333333333333,0.945205479452055,0.833333333333333,0.945205479452055,NA,NA,69,4,4,20,NA,NA,NA,NA,NA,NA,NA,NA
"25",0.925243770314193,0.777777777777778,0.928571428571428,0.807692307692308,0.915492957746479,NA,NA,65,5,6,21,NA,NA,NA,NA,NA,NA,NA,NA
"26",0.950742240215924,0.727272727272727,0.96,0.842105263157895,0.923076923076923,NA,NA,72,3,6,16,NA,NA,NA,NA,NA,NA,NA,NA
"27",0.881278538812785,0.769230769230769,0.943661971830986,0.833333333333333,0.917808219178082,NA,NA,67,4,6,20,NA,NA,NA,NA,NA,NA,NA,NA
"28",0.925203252032521,0.68421052631579,0.974358974358974,0.866666666666667,0.926829268292683,NA,NA,76,2,6,13,NA,NA,NA,NA,NA,NA,NA,NA
"29",0.946886446886447,0.857142857142857,0.987951807228916,0.923076923076923,0.976190476190476,NA,NA,82,1,2,12,NA,NA,NA,NA,NA,NA,NA,NA
"30",0.89030303030303,0.888888888888889,0.924050632911392,0.727272727272727,0.973333333333333,NA,NA,73,6,2,16,NA,NA,NA,NA,NA,NA,NA,NA
"31",0.900843881856539,0.888888888888889,0.974683544303797,0.888888888888889,0.974683544303797,NA,NA,77,2,2,16,NA,NA,NA,NA,NA,NA,NA,NA
"32",0.912280701754386,0.842105263157895,0.961538461538462,0.842105263157895,0.961538461538462,NA,NA,75,3,3,16,NA,NA,NA,NA,NA,NA,NA,NA
"33",0.871794871794872,0.8125,0.925925925925926,0.684210526315789,0.961538461538462,NA,NA,75,6,3,13,NA,NA,NA,NA,NA,NA,NA,NA
"34",0.880325814536342,0.789473684210526,0.923076923076923,0.714285714285714,0.947368421052632,NA,NA,72,6,4,15,NA,NA,NA,NA,NA,NA,NA,NA
"35",0.870909090909091,0.739130434782609,0.932432432432432,0.772727272727273,0.92,NA,NA,69,5,6,17,NA,NA,NA,NA,NA,NA,NA,NA
"36",0.827642276422764,0.692307692307692,0.928571428571429,0.6,0.951219512195122,NA,NA,78,6,4,9,NA,NA,NA,NA,NA,NA,NA,NA
"37",0.966117216117216,0.764705882352941,1,1,0.952380952380952,NA,NA,80,0,4,13,NA,NA,NA,NA,NA,NA,NA,NA
"38",0.952205882352941,0.75,0.974025974025974,0.882352941176471,0.9375,NA,NA,75,2,5,15,NA,NA,NA,NA,NA,NA,NA,NA
"39",0.894805194805194,0.789473684210526,0.935897435897436,0.75,0.948051948051948,NA,NA,73,5,4,15,NA,NA,NA,NA,NA,NA,NA,NA
"40",0.873170731707316,0.705882352941176,0.9625,0.8,0.939024390243902,NA,NA,77,3,5,12,NA,NA,NA,NA,NA,NA,NA,NA
"41",0.883739837398373,0.785714285714285,0.951807228915663,0.733333333333333,0.963414634146341,NA,NA,79,4,3,11,NA,NA,NA,NA,NA,NA,NA,NA
"42",0.916666666666667,0.692307692307692,0.957746478873239,0.857142857142857,0.894736842105263,NA,NA,68,3,8,18,NA,NA,NA,NA,NA,NA,NA,NA
